Date, Close, Volume, Open, High, Low
2/28/2020,273.36,106721200.00,257.26,278.41,256.37
2/27/2020,273.52,80151380.00,281.10,286.00,272.96
2/26/2020,292.65,49678430.00,286.53,297.88,286.50
2/25/2020,288.08,57668360.00,300.95,302.53,286.13
2/24/2020,298.18,55548830.00,297.26,304.18,289.23
2/21/2020,313.05,32426420.00,318.62,320.45,310.50
2/20/2020,320.30,25141490.00,322.63,324.65,318.21
2/19/2020,323.62,23495990.00,320.00,324.57,320.00
2/18/2020,319.00,38190550.00,315.36,319.75,314.61
2/14/2020,324.95,20028450.00,324.74,325.98,322.85
2/13/2020,324.87,23686890.00,324.19,326.22,323.35
2/12/2020,327.20,28432570.00,321.47,327.22,321.47
2/11/2020,319.61,23580780.00,323.60,323.90,318.71
2/10/2020,321.55,27337220.00,314.18,321.55,313.85
2/7/2020,320.03,29421010.00,322.37,323.40,318.00
2/6/2020,325.21,26356390.00,322.57,325.22,320.26
2/5/2020,321.45,29706720.00,323.52,324.76,318.95
2/4/2020,318.85,34154130.00,315.31,319.64,313.63
2/3/2020,308.66,43496400.00,304.30,313.49,302.22
1/31/2020,309.51,49897100.00,320.93,322.68,308.29
1/30/2020,323.87,31685810.00,320.54,324.09,318.75
1/29/2020,324.34,54149930.00,324.45,327.85,321.38
1/28/2020,317.69,40558490.00,312.60,318.40,312.19
1/27/2020,308.95,40485010.00,310.06,311.77,304.88
1/24/2020,318.31,36634380.00,320.25,323.33,317.52
1/23/2020,319.23,26117990.00,317.92,319.56,315.65
1/22/2020,317.70,25458120.00,318.58,319.99,317.31
1/21/2020,316.57,27710810.00,317.19,319.02,316.00
1/17/2020,318.73,34454120.00,316.27,318.74,315.00
1/16/2020,315.24,27207250.00,313.59,315.70,312.09
1/15/2020,311.34,30480880.00,311.85,315.50,309.55
1/14/2020,312.68,40653460.00,316.70,317.57,312.17
1/13/2020,316.96,30521720.00,311.64,317.07,311.15
1/10/2020,310.33,35217270.00,310.60,312.67,308.25
1/9/2020,309.63,42621540.00,307.24,310.43,306.20
1/8/2020,303.19,33090950.00,297.16,304.44,297.16
1/7/2020,298.39,27877660.00,299.84,300.90,297.48
1/6/2020,299.80,29644640.00,293.79,299.96,292.75
1/3/2020,297.43,36633880.00,297.15,300.58,296.50
1/2/2020,300.35,33911860.00,296.24,300.60,295.19
12/31/2019,293.65,25247630.00,289.93,293.68,289.52
12/30/2019,291.52,36059610.00,289.46,292.69,285.22
12/27/2019,289.80,36592940.00,291.12,293.97,288.12
12/26/2019,289.91,23334000.00,284.82,289.98,284.70
12/24/2019,284.27,12119710.00,284.69,284.89,282.92
12/23/2019,284.00,24677880.00,280.53,284.25,280.37
12/20/2019,279.44,69032740.00,282.23,282.65,278.56
12/19/2019,280.02,24626950.00,279.50,281.18,278.95
12/18/2019,279.74,29024690.00,279.80,281.90,279.12
12/17/2019,280.41,28575800.00,279.57,281.77,278.80
12/16/2019,279.86,32081110.00,277.00,280.79,276.98
12/13/2019,275.15,33432810.00,271.46,275.30,270.93
12/12/2019,271.46,34437040.00,267.78,272.56,267.32
12/11/2019,270.77,19723390.00,268.81,271.10,268.50
12/10/2019,268.48,22632380.00,268.60,270.07,265.86
12/9/2019,266.92,32182650.00,270.00,270.80,264.91
12/6/2019,270.71,26547490.00,267.48,271.00,267.30
12/5/2019,265.58,18661340.00,263.79,265.89,262.73
12/4/2019,261.74,16810390.00,261.07,263.31,260.68
12/3/2019,259.45,29377270.00,258.31,259.53,256.29
12/2/2019,264.16,23693550.00,267.27,268.25,263.45
